Customer_ID,Age,Income,Gender,Region,Marketing_Channel,Campaign_Type,Device_Type,Ad_Spend,Website_Visits,Email_Clicks,Time_on_Site_Minutes,Past_Purchases,Discount_Offered,Purchased
1,56,47214.2,Male,West,Display Ads,Seasonal Promo,Desktop,221.3,14,1,4.79,0,10,0
2,69,67130.48,Male,East,Display Ads,Product Launch,Desktop,167.17,11,2,2.95,0,20,1
3,46,69486.81,Female,East,Email,Brand Awareness,Desktop,252.03,8,3,4.74,1,15,0
4,32,52887.33,Male,West,Display Ads,Brand Awareness,Mobile,225.37,8,3,2.55,2,20,0
5,60,48423.42,Male,East,Display Ads,Product Launch,Desktop,130.65,7,3,6.8,3,10,0
6,25,84142.81,Male,North,Search Ads,Product Launch,Desktop,116.42,9,3,8.24,5,15,1
7,38,63412.44,Female,North,Search Ads,Brand Awareness,Tablet,132.62,6,3,2.59,1,20,0
8,56,69539.52,Male,West,Social Media,Brand Awareness,Tablet,282.46,10,3,3.26,0,5,0
9,,47668.86,Male,North,Social Media,Seasonal Promo,Tablet,149.23,6,5,3.59,3,20,1
10,40,41710.73,Female,South,Search Ads,Brand Awareness,Desktop,293.81,7,3,4.71,4,0,0
11,28,,Female,East,Email,Seasonal Promo,Tablet,146.63,9,2,7.08,2,15,0
12,28,58139.68,Male,South,Email,Product Launch,Mobile,141.31,10,1,1.61,0,20,0
13,41,44036.7,Female,South,Social Media,Seasonal Promo,Tablet,244,10,3,4.6,1,20,1
14,53,59852.33,Female,South,Search Ads,Product Launch,Mobile,246.28,8,2,8.06,0,0,0
15,57,34672.42,Male,North,Email,Seasonal Promo,Tablet,227.79,13,2,1.93,3,20,1
16,41,43199.29,Male,East,Display Ads,Seasonal Promo,Tablet,233.81,15,2,7.56,7,15,1
17,,70063.67,Male,East,Social Media,Seasonal Promo,Tablet,159.92,10,3,3.07,1,20,1
18,39,69056.86,Female,West,Social Media,Product Launch,Mobile,241.65,13,0,2.33,0,10,0
19,19,54121.85,Male,South,Display Ads,Product Launch,Mobile,212,4,5,8.33,3,5,0
20,41,44733.54,Female,North,Display Ads,Seasonal Promo,Tablet,181.74,8,1,7.79,1,15,0
21,61,44588.95,Male,South,Social Media,Product Launch,Mobile,204.73,6,4,0.66,0,5,0
22,47,54400.98,Female,South,Display Ads,Seasonal Promo,Tablet,253.03,16,6,7.43,3,20,1
23,55,69667.78,Male,East,Email,Product Launch,Desktop,219.59,8,1,6.29,0,15,0
24,19,73923.69,Female,West,Social Media,Seasonal Promo,Desktop,92.11,12,1,6.23,2,15,0
25,38,,Male,North,Email,Brand Awareness,Desktop,244.56,9,1,3.4,4,5,0
26,50,42697.61,Male,East,Social Media,Brand Awareness,Mobile,240.73,8,5,6.09,4,15,1
27,29,64017.65,Male,South,Email,Seasonal Promo,Desktop,181.05,17,3,6.47,0,10,1
28,39,47646.98,Female,East,Search Ads,Product Launch,Tablet,205.84,15,3,4.53,0,20,1
29,61,52226.21,Female,South,Email,Seasonal Promo,Tablet,205.64,19,1,8.53,0,10,1
30,42,79879.14,Male,North,Display Ads,Brand Awareness,Mobile,101.03,8,1,-0.29,4,15,0
31,66,72406.73,Female,East,Search Ads,Brand Awareness,Tablet,179.92,12,5,5.07,3,20,1
32,44,62369.61,Male,East,Social Media,Seasonal Promo,Desktop,181.85,5,4,3.42,2,15,0
33,59,40921.21,Female,East,Email,Brand Awareness,Tablet,192.06,8,5,7.06,4,10,1
